epoch,lr-AdamW,step,train_loss,train_recon_loss,train_space_loss,val_loss,val_recon_loss,val_space_loss
,0.0,0,,,,,,
0,,260,,,,3.5589210987091064,3.372269868850708,0.18665146827697754
0,,260,9.59096622467041,9.358892440795898,0.23207774758338928,,,
,1.305e-05,261,,,,,,
1,,521,,,,1.3177475929260254,1.0388919115066528,0.278855562210083
1,,521,2.8492982387542725,2.607511043548584,0.24178718030452728,,,
,2.61e-05,522,,,,,,
2,,782,,,,0.660024881362915,0.3931785821914673,0.266846239566803
2,,782,1.3310315608978271,1.0530266761779785,0.2780047655105591,,,
,3.915e-05,783,,,,,,
3,,1043,,,,0.44441136717796326,0.2022552192211151,0.2421562224626541
3,,1043,0.8005786538124084,0.5464498400688171,0.25412893295288086,,,
,5.22e-05,1044,,,,,,
4,,1304,,,,0.34761837124824524,0.1328788846731186,0.21473950147628784
4,,1304,0.565117597579956,0.33577483892440796,0.22934262454509735,,,
,6.525e-05,1305,,,,,,
5,,1565,,,,0.29832449555397034,0.1085987314581871,0.18972572684288025
5,,1565,0.4473686218261719,0.2446897029876709,0.20267896354198456,,,
,7.83e-05,1566,,,,,,
6,,1826,,,,0.2607596814632416,0.09325377643108368,0.16750593483448029
6,,1826,0.3792852461338043,0.20063425600528717,0.17865093052387238,,,
,9.135e-05,1827,,,,,,
7,,2087,,,,0.23074975609779358,0.08026891201734543,0.15048086643218994
7,,2087,0.33056214451789856,0.17177674174308777,0.15878558158874512,,,
,9.988717948717949e-05,2088,,,,,,
8,,2348,,,,0.20732873678207397,0.0705970972776413,0.1367316097021103
8,,2348,0.29436811804771423,0.1513923555612564,0.142975851893425,,,
,9.955256410256411e-05,2349,,,,,,
9,,2609,,,,0.19012191891670227,0.06408964842557907,0.1260322630405426
9,,2609,0.26768264174461365,0.13704361021518707,0.13063913583755493,,,
,9.921794871794873e-05,2610,,,,,,
10,,2870,,,,0.1744195818901062,0.0584401972591877,0.1159793958067894
10,,2870,0.2460738718509674,0.12540632486343384,0.12066757678985596,,,
,9.888333333333334e-05,2871,,,,,,
11,,3131,,,,0.1635160595178604,0.05441563203930855,0.10910043865442276
11,,3131,0.22860564291477203,0.11623770743608475,0.11236802488565445,,,
,9.854871794871795e-05,3132,,,,,,
12,,3392,,,,0.16439984738826752,0.06282703578472137,0.10157280415296555
12,,3392,0.2135774791240692,0.108404241502285,0.105173259973526,,,
,9.821410256410257e-05,3393,,,,,,
13,,3653,,,,0.1493573933839798,0.05366767570376396,0.09568968415260315
13,,3653,0.20053349435329437,0.10157106816768646,0.09896238893270493,,,
,9.787948717948718e-05,3654,,,,,,
14,,3914,,,,0.1396578550338745,0.04815708100795746,0.09150077402591705
14,,3914,0.18904414772987366,0.09541450440883636,0.09362966567277908,,,
,9.75448717948718e-05,3915,,,,,,
15,,4175,,,,0.13848447799682617,0.052348144352436066,0.0861363559961319
15,,4175,0.1796242743730545,0.09061906486749649,0.08900518715381622,,,
,9.721025641025642e-05,4176,,,,,,
16,,4436,,,,0.13189798593521118,0.04922681301832199,0.08267118781805038
16,,4436,0.1707010418176651,0.08587165176868439,0.08482937514781952,,,
,9.687564102564103e-05,4437,,,,,,
17,,4697,,,,0.12401200830936432,0.04472703859210014,0.07928496599197388
17,,4697,0.16311092674732208,0.0819062814116478,0.08120466768741608,,,
,9.654102564102565e-05,4698,,,,,,
18,,4958,,,,0.12501224875450134,0.04864933341741562,0.07636292278766632
18,,4958,0.15552781522274017,0.07766790688037872,0.07785991579294205,,,
,9.620641025641026e-05,4959,,,,,,
19,,5219,,,,0.11781243979930878,0.04462546110153198,0.0731869637966156
19,,5219,0.14904534816741943,0.07428533583879471,0.07475996762514114,,,
,9.587179487179487e-05,5220,,,,,,
20,,5480,,,,0.11022870242595673,0.03980084881186485,0.07042785733938217
20,,5480,0.14248889684677124,0.07054613530635834,0.07194271683692932,,,
,9.553717948717949e-05,5481,,,,,,
21,,5741,,,,0.12281028181314468,0.054833948612213135,0.06797632575035095
21,,5741,0.13754752278327942,0.06820594519376755,0.06934163719415665,,,
,9.520256410256411e-05,5742,,,,,,
22,,6002,,,,0.11622901260852814,0.05051093548536301,0.06571808457374573
22,,6002,0.13189812004566193,0.0648820623755455,0.06701609492301941,,,
,9.486794871794872e-05,6003,,,,,,
