epoch,lr-AdamW,step,train_loss,train_recon_loss,train_space_loss,val_loss,val_recon_loss,val_space_loss
,0.0,0,,,,,,
0,,260,,,,0.9351312518119812,0.5127948522567749,0.4223363697528839
0,,260,2.6648662090301514,2.2311019897460938,0.4337650537490845,,,
,1.305e-05,261,,,,,,
1,,521,,,,0.46306782960891724,0.18769147992134094,0.2753763198852539
1,,521,1.1491317749023438,0.7926048636436462,0.3565264344215393,,,
,2.61e-05,522,,,,,,
2,,782,,,,0.2906315326690674,0.11841747909784317,0.1722140610218048
2,,782,0.6323907971382141,0.4139464497566223,0.21844440698623657,,,
,3.915e-05,783,,,,,,
3,,1043,,,,0.21139483153820038,0.09719689935445786,0.11419793963432312
3,,1043,0.4035632908344269,0.2623754143714905,0.14118775725364685,,,
,5.22e-05,1044,,,,,,
4,,1304,,,,0.17289362847805023,0.08983370661735535,0.08305994421243668
4,,1304,0.2863711714744568,0.18831601738929749,0.09805513918399811,,,
,6.525e-05,1305,,,,,,
5,,1565,,,,0.14061233401298523,0.07517976313829422,0.06543256342411041
5,,1565,0.22173406183719635,0.14695988595485687,0.07477409392595291,,,
,7.83e-05,1566,,,,,,
6,,1826,,,,0.11794304102659225,0.06332465261220932,0.054618384689092636
6,,1826,0.18274885416030884,0.12170859426259995,0.06104028970003128,,,
,9.135e-05,1827,,,,,,
7,,2087,,,,0.09617290645837784,0.04963737353682518,0.04653553664684296
7,,2087,0.15681934356689453,0.10530921071767807,0.05151010677218437,,,
,9.988717948717949e-05,2088,,,,,,
8,,2348,,,,0.08304515480995178,0.041439488530159,0.04160566255450249
8,,2348,0.13916310667991638,0.09401088207960129,0.04515226185321808,,,
,9.955256410256411e-05,2349,,,,,,
9,,2609,,,,0.07665953785181046,0.03857367858290672,0.03808585926890373
9,,2609,0.12650161981582642,0.08565530180931091,0.04084625095129013,,,
,9.921794871794873e-05,2610,,,,,,
10,,2870,,,,0.06778183579444885,0.03268090635538101,0.03510092943906784
10,,2870,0.1174875795841217,0.07974202930927277,0.037745535373687744,,,
,9.888333333333334e-05,2871,,,,,,
11,,3131,,,,0.06702841073274612,0.034006375819444656,0.03302204608917236
11,,3131,0.11096426099538803,0.07557756453752518,0.03538667410612106,,,
,9.854871794871795e-05,3132,,,,,,
12,,3392,,,,0.06608159840106964,0.03429127484560013,0.03179032355546951
12,,3392,0.10606517642736435,0.07248887419700623,0.03357632830739021,,,
,9.821410256410257e-05,3393,,,,,,
13,,3653,,,,0.06372296065092087,0.03347925469279289,0.03024369850754738
13,,3653,0.10198373347520828,0.0698363333940506,0.03214738145470619,,,
,9.787948717948718e-05,3654,,,,,,
14,,3914,,,,0.06200593337416649,0.032508622854948044,0.029497303068637848
14,,3914,0.09861090779304504,0.0677335187792778,0.030877409502863884,,,
,9.75448717948718e-05,3915,,,,,,
15,,4175,,,,0.06320453435182571,0.034789033234119415,0.028415506705641747
15,,4175,0.09567327052354813,0.06585072726011276,0.02982255071401596,,,
,9.721025641025642e-05,4176,,,,,,
16,,4436,,,,0.06254985928535461,0.0350579097867012,0.027491940185427666
16,,4436,0.09325257688760757,0.06432852149009705,0.028924018144607544,,,
,9.687564102564103e-05,4437,,,,,,
17,,4697,,,,0.06240689754486084,0.03529568761587143,0.027111202478408813
17,,4697,0.09090030193328857,0.06276923418045044,0.028131069615483284,,,
,9.654102564102565e-05,4698,,,,,,
18,,4958,,,,0.0636979192495346,0.03754190355539322,0.02615601196885109
18,,4958,0.08905158936977386,0.06160101667046547,0.027450602501630783,,,
,9.620641025641026e-05,4959,,,,,,
19,,5219,,,,0.06243959441781044,0.03715905919671059,0.025280535221099854
19,,5219,0.08714047074317932,0.06031244993209839,0.02682795561850071,,,
,9.587179487179487e-05,5220,,,,,,
20,,5480,,,,0.06330173462629318,0.038270216435194016,0.025031518191099167
20,,5480,0.08562778681516647,0.05939747393131256,0.026230284944176674,,,
,9.553717948717949e-05,5481,,,,,,
21,,5741,,,,0.06304621696472168,0.03840922191739082,0.024636996909976006
21,,5741,0.0840415507555008,0.0583074577152729,0.0257340706884861,,,
,9.520256410256411e-05,5742,,,,,,
22,,6002,,,,0.06688567996025085,0.04238610714673996,0.024499565362930298
22,,6002,0.08235180377960205,0.0571134090423584,0.025238415226340294,,,
,9.486794871794872e-05,6003,,,,,,
23,,6263,,,,0.06474552303552628,0.04104305058717728,0.023702474310994148
23,,6263,0.08101135492324829,0.05623726546764374,0.02477407269179821,,,
,9.453333333333335e-05,6264,,,,,,
24,,6524,,,,0.06710954010486603,0.04350946843624115,0.023600073531270027
24,,6524,0.07957099378108978,0.055265605449676514,0.02430541440844536,,,
