epoch,lr-AdamW,step,train_loss,train_recon_loss,train_space_loss,val_loss,val_recon_loss,val_space_loss
,0.0,0,,,,,,
0,,260,,,,4.1140313148498535,4.0623626708984375,0.051668353378772736
0,,260,7.3150458335876465,7.269479274749756,0.04556240141391754,,,
,1.305e-05,261,,,,,,
1,,521,,,,1.0790947675704956,1.0067604780197144,0.07233430445194244
1,,521,3.084221363067627,3.0231997966766357,0.06102414429187775,,,
,2.61e-05,522,,,,,,
2,,782,,,,0.38468998670578003,0.29698777198791504,0.087702177464962
2,,782,1.034943699836731,0.954014241695404,0.08092993497848511,,,
,3.915e-05,783,,,,,,
3,,1043,,,,0.2444489300251007,0.1600187122821808,0.08443019539117813
3,,1043,0.5045706033706665,0.4175870716571808,0.08698322623968124,,,
,5.22e-05,1044,,,,,,
4,,1304,,,,0.1806613653898239,0.10542631894350052,0.0752350389957428
4,,1304,0.3243121802806854,0.2441079318523407,0.08020414412021637,,,
,6.525e-05,1305,,,,,,
5,,1565,,,,0.14325088262557983,0.07760089635848999,0.06564998626708984
5,,1565,0.2329878956079483,0.1626109927892685,0.07037683576345444,,,
,7.83e-05,1566,,,,,,
6,,1826,,,,0.11822228878736496,0.05974794179201126,0.0584743469953537
6,,1826,0.17933931946754456,0.11744517832994461,0.061894193291664124,,,
,9.135e-05,1827,,,,,,
7,,2087,,,,0.10049355030059814,0.04672349616885185,0.053770069032907486
7,,2087,0.14332982897758484,0.087324358522892,0.05600539967417717,,,
,9.988717948717949e-05,2088,,,,,,
8,,2348,,,,0.08680706471204758,0.03537638485431671,0.05143067613244057
8,,2348,0.12028483301401138,0.06777863949537277,0.052506204694509506,,,
,9.955256410256411e-05,2349,,,,,,
9,,2609,,,,0.07813865691423416,0.02838296815752983,0.049755699932575226
9,,2609,0.10469432920217514,0.05430930107831955,0.05038503557443619,,,
,9.921794871794873e-05,2610,,,,,,
10,,2870,,,,0.07377775758504868,0.025713257491588593,0.04806451126933098
10,,2870,0.09505569189786911,0.046246565878391266,0.04880909621715546,,,
,9.888333333333334e-05,2871,,,,,,
11,,3131,,,,0.06900932639837265,0.02233997732400894,0.04666934907436371
11,,3131,0.08843669295310974,0.0411665104329586,0.04727018624544144,,,
,9.854871794871795e-05,3132,,,,,,
12,,3392,,,,0.06630200147628784,0.021358031779527664,0.04494396597146988
12,,3392,0.08365156501531601,0.0379195399582386,0.045732010155916214,,,
,9.821410256410257e-05,3393,,,,,,
13,,3653,,,,0.06459920108318329,0.0214080773293972,0.04319111630320549
13,,3653,0.07901929318904877,0.034967921674251556,0.044051412492990494,,,
,9.787948717948718e-05,3654,,,,,,
14,,3914,,,,0.06150079891085625,0.020012980327010155,0.04148782417178154
14,,3914,0.0757358968257904,0.033346522599458694,0.0423893928527832,,,
,9.75448717948718e-05,3915,,,,,,
15,,4175,,,,0.05841947719454765,0.01831798441708088,0.04010149464011192
15,,4175,0.07193907350301743,0.031118933111429214,0.040820155292749405,,,
,9.721025641025642e-05,4176,,,,,,
16,,4436,,,,0.05606187880039215,0.017256226390600204,0.03880564868450165
16,,4436,0.0696469098329544,0.03029659204185009,0.03935028985142708,,,
,9.687564102564103e-05,4437,,,,,,
17,,4697,,,,0.05447275564074516,0.0169012900441885,0.03757146745920181
17,,4697,0.06707998365163803,0.029104433953762054,0.03797554224729538,,,
,9.654102564102565e-05,4698,,,,,,
18,,4958,,,,0.05117366090416908,0.015289059840142727,0.03588459640741348
18,,4958,0.06382066011428833,0.027182599529623985,0.03663806989789009,,,
,9.620641025641026e-05,4959,,,,,,
19,,5219,,,,0.05071723833680153,0.015733657404780388,0.03498358279466629
19,,5219,0.06179521977901459,0.02636747620999813,0.0354277566075325,,,
,9.587179487179487e-05,5220,,,,,,
20,,5480,,,,0.048426054418087006,0.014880203641951084,0.0335458479821682
20,,5480,0.05984818935394287,0.025596648454666138,0.03425154462456703,,,
,9.553717948717949e-05,5481,,,,,,
21,,5741,,,,0.04717862606048584,0.014392605982720852,0.03278603032231331
21,,5741,0.057729706168174744,0.024553144350647926,0.03317655622959137,,,
,9.520256410256411e-05,5742,,,,,,
22,,6002,,,,0.04608398675918579,0.014643319882452488,0.03144066035747528
22,,6002,0.05602378025650978,0.023858049884438515,0.03216572850942612,,,
,9.486794871794872e-05,6003,,,,,,
23,,6263,,,,0.04339195415377617,0.012579679489135742,0.03081226535141468
23,,6263,0.05395474284887314,0.02282206527888775,0.03113270178437233,,,
,9.453333333333335e-05,6264,,,,,,
24,,6524,,,,0.042168617248535156,0.012541648000478745,0.02962697483599186
24,,6524,0.052665796130895615,0.0224225465208292,0.03024323470890522,,,
,9.419871794871795e-05,6525,,,,,,
25,,6785,,,,0.04187474772334099,0.012899337336421013,0.028975412249565125
25,,6785,0.050993867218494415,0.02167099341750145,0.029322881251573563,,,
,9.386410256410258e-05,6786,,,,,,
26,,7046,,,,0.04072612151503563,0.012725131586194038,0.02800099179148674
26,,7046,0.04952535778284073,0.021028224378824234,0.028497133404016495,,,
,9.352948717948719e-05,7047,,,,,,
27,,7307,,,,0.03796127438545227,0.010734068229794502,0.02722720056772232
27,,7307,0.0478026419878006,0.020129146054387093,0.027673503383994102,,,
,9.31948717948718e-05,7308,,,,,,
28,,7568,,,,0.03833717107772827,0.011928854510188103,0.02640831656754017
28,,7568,0.046863213181495667,0.01995721273124218,0.026906007900834084,,,
,9.286025641025642e-05,7569,,,,,,
29,,7829,,,,0.03680465370416641,0.01095369178801775,0.025850960984826088
29,,7829,0.045118995010852814,0.01896832324564457,0.026150651276111603,,,
,9.252564102564103e-05,7830,,,,,,
30,,8090,,,,0.03616548329591751,0.011058887466788292,0.02510659582912922
30,,8090,0.04393121600151062,0.018480414524674416,0.025450805202126503,,,
,9.219102564102564e-05,8091,,,,,,
31,,8351,,,,0.034868888556957245,0.010278085246682167,0.024590808898210526
31,,8351,0.0429927334189415,0.01823779009282589,0.024754934012889862,,,
,9.185641025641026e-05,8352,,,,,,
32,,8612,,,,0.03462555631995201,0.01090024784207344,0.02372531034052372
32,,8612,0.041881825774908066,0.01776587963104248,0.02411595918238163,,,
,9.152179487179487e-05,8613,,,,,,
33,,8873,,,,0.033754631876945496,0.010582961142063141,0.023171672597527504
33,,8873,0.04056742042303085,0.017081376165151596,0.023486044257879257,,,
,9.118717948717948e-05,8874,,,,,,
34,,9134,,,,0.03267510235309601,0.010126221925020218,0.022548874840140343
34,,9134,0.03971095383167267,0.016807062551379204,0.022903891280293465,,,
,9.08525641025641e-05,9135,,,,,,
35,,9395,,,,0.03227626904845238,0.010340970940887928,0.021935295313596725
