lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,z_init.1,z_init.2,sigma.1,sigma.2,z_solution.1.1,z_solution.2.1,z_solution.3.1,z_solution.4.1,z_solution.5.1,z_solution.6.1,z_solution.7.1,z_solution.8.1,z_solution.1.2,z_solution.2.2,z_solution.3.2,z_solution.4.2,z_solution.5.2,z_solution.6.2,z_solution.7.2,z_solution.8.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,y_init_rep.1,y_init_rep.2,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2
# Adaptation terminated
# Step size = 0.357685
# Diagonal elements of inverse mass matrix:
# 0.00439122, 0.0188552, 0.0351749, 0.0280063, 0.0662911, 0.0594765
4.3020488,0.84067258,0.35768502,3,7,0,-2.1262704,1.1375792,1.0495559,0.97349326,0.33151201,0.50887667,0.33574364,2.1464739,1.0702749,0.25360003,0.50051638,2.0878496,0.38064967,0.44893808,2.4024913,0.64077543,2.7182807,1.268489,0.41317059,0.60019331,2.1318676,0.44629953,1.1205603,2.1464739,1.0702749,0.25360003,0.50051638,2.0878496,0.38064967,0.44893808,2.4024913,0.64077543,2.7182807,1.268489,0.41317059,0.60019331,2.1318676,0.44629953,1.1205603,0.33972462,0.19586901,2.7395261,2.2027561,0.42922082,0.472109,3.0046165,0.32224131,0.47651762,2.3478382,0.58971825,2.7517422,1.024184,0.50340818,0.47783461,2.6926601,0.28353616,0.73724385
4.0399135,0.93654635,0.35768502,3,7,0,-2.8093793,1.0919536,1.0241518,1.06552,0.36543411,0.31747911,0.45568026,2.1064214,1.0656214,0.30903384,0.57334852,2.0437726,0.44913147,0.51239317,2.2550317,0.71721875,2.4376105,1.2080481,0.43167498,0.65938029,1.9754417,0.4665556,1.1150977,2.1064214,1.0656214,0.30903384,0.57334852,2.0437726,0.44913147,0.51239317,2.2550317,0.71721875,2.4376105,1.2080481,0.43167498,0.65938029,1.9754417,0.4665556,1.1150977,1.1142125,1.0796464,2.338857,1.5146778,0.34254016,0.78524896,1.0184274,0.39838708,0.54189959,2.3778111,2.3733872,2.0394237,2.1138235,0.54607157,1.0121395,0.3890948,0.81629443,2.0280513
3.9973059,0.96956121,0.35768502,4,15,0,-2.6484528,1.0770112,0.99561523,1.0382042,0.3462699,0.41295953,0.52958378,2.116637,1.2392161,0.31416435,0.53613511,1.9739925,0.53048542,0.46232947,2.2875341,0.63071275,2.4148803,1.2792889,0.43774223,0.54433357,2.1438565,0.49456332,0.81719921,2.116637,1.2392161,0.31416435,0.53613511,1.9739925,0.53048542,0.46232947,2.2875341,0.63071275,2.4148803,1.2792889,0.43774223,0.54433357,2.1438565,0.49456332,0.81719921,2.0388082,0.23737039,1.0513224,1.9340915,0.51030601,0.7521447,2.2324046,0.59727314,0.39622545,2.731023,0.37481065,1.4406763,0.93352468,0.32717235,0.47456453,2.159189,0.36101771,0.89542765
3.0209731,0.76169592,0.35768502,3,7,0,-0.95229107,1.0137018,1.1552815,1.0844459,0.37760946,0.39532256,0.51131334,1.8447678,0.83057327,0.30720615,0.55415498,1.7174526,0.46765578,0.45374951,1.8433015,0.8352119,2.1826819,1.0711328,0.41529313,0.63843207,1.8718288,0.48164474,0.83106893,1.8447678,0.83057327,0.30720615,0.55415498,1.7174526,0.46765578,0.45374951,1.8433015,0.8352119,2.1826819,1.0711328,0.41529313,0.63843207,1.8718288,0.48164474,0.83106893,1.31845,0.68352937,1.6417506,0.81156203,0.54736657,0.55189668,2.4000503,0.30409638,0.34223839,1.2129543,0.3671556,0.97864819,1.9464757,0.49540932,0.37524709,5.5905359,0.80041723,1.0173744
2.432219,0.95481889,0.35768502,3,15,0,-0.12357007,1.0107791,0.93298512,1.4060706,0.31225902,0.44642889,0.40906361,2.5391831,0.92969454,0.31045301,0.6038701,2.1744284,0.56460609,0.4446585,2.2740878,0.81163638,2.4075647,1.0416157,0.36038086,0.49303434,2.1217048,0.46886532,0.54364875,2.5391831,0.92969454,0.31045301,0.6038701,2.1744284,0.56460609,0.4446585,2.2740878,0.81163638,2.4075647,1.0416157,0.36038086,0.49303434,2.1217048,0.46886532,0.54364875,2.1459682,0.1925187,2.5662904,1.4660298,0.33107752,0.44206876,1.0371901,0.53727084,0.39322863,1.5247067,0.8870356,2.7183036,0.59503566,0.17764643,0.48444026,2.0641422,0.86359654,0.55257943
-2.545,0.71785047,0.35768502,3,7,0,5.2430629,1.1027821,1.1195175,1.4274949,0.40789941,0.5524857,0.58449425,2.0954512,0.46986879,0.27230557,0.73050772,2.1421255,0.2769047,0.63022461,1.7372129,1.4180112,2.2537922,0.8367193,0.35026242,1.2387489,1.4690994,0.36732564,2.0239619,2.0954512,0.46986879,0.27230557,0.73050772,2.1421255,0.2769047,0.63022461,1.7372129,1.4180112,2.2537922,0.8367193,0.35026242,1.2387489,1.4690994,0.36732564,2.0239619,1.7219139,0.18558522,1.3883104,0.3215036,0.12880949,0.56253518,1.0116705,0.26202751,0.34573051,1.2903327,1.0710131,1.2159127,1.2198762,0.929601,1.0735304,1.4403368,1.1177313,0.68984772
1.0155741,0.97696552,0.35768502,3,7,0,2.4801171,0.9922676,0.91600926,1.1564966,0.31581308,0.47841303,0.5742754,2.2379655,1.4748163,0.36795135,0.53577945,1.8158602,0.89337476,0.4189093,1.9200475,0.56829066,2.1879851,1.2869385,0.43680987,0.40170462,2.2447089,0.58121878,0.43030394,2.2379655,1.4748163,0.36795135,0.53577945,1.8158602,0.89337476,0.4189093,1.9200475,0.56829066,2.1879851,1.2869385,0.43680987,0.40170462,2.2447089,0.58121878,0.43030394,1.3634728,0.55306332,2.5657647,1.3589674,0.60234168,0.41324203,1.4239908,1.011519,0.4099958,1.5323848,0.45568374,7.3899379,0.67522821,0.65937727,0.24920282,1.2932053,0.52009901,0.48800906
3.2275292,0.88646305,0.35768502,4,15,0,0.72345134,1.1693292,1.0713969,1.0239707,0.31611714,0.3933984,0.43501798,2.3026538,0.83810413,0.22003065,0.50866977,2.2633574,0.29608196,0.45724216,2.4430599,0.72155154,2.9110386,1.1768293,0.37818041,0.68406029,2.0294235,0.40403809,1.4309357,2.3026538,0.83810413,0.22003065,0.50866977,2.2633574,0.29608196,0.45724216,2.4430599,0.72155154,2.9110386,1.1768293,0.37818041,0.68406029,2.0294235,0.40403809,1.4309357,0.99263482,0.34938131,2.8707007,0.61296554,0.34169375,1.7028801,1.8913724,0.32658136,0.29052584,2.5673017,0.57610827,2.737754,1.0935927,0.67110793,0.50843691,3.9148056,0.42391051,1.5322947
4.4224875,1,0.35768502,4,15,0,-3.2123656,1.1116954,1.1370639,0.90370686,0.3338583,0.43400993,0.47562938,1.9355953,1.0291866,0.24758566,0.46080062,1.8402798,0.39477877,0.40351597,2.1437343,0.63245637,2.6052496,1.2735994,0.42053963,0.56503808,2.1601379,0.4652482,0.948676,1.9355953,1.0291866,0.24758566,0.46080062,1.8402798,0.39477877,0.40351597,2.1437343,0.63245637,2.6052496,1.2735994,0.42053963,0.56503808,2.1601379,0.4652482,0.948676,0.57599833,0.41104832,1.2624158,0.70636171,0.15160971,0.63110871,2.5153493,0.49998508,0.71438404,1.2935135,0.38836875,7.475617,0.76909227,0.15489693,0.57573108,2.4344285,0.54408303,0.53150719
1.5645721,0.72084752,0.35768502,3,7,0,-0.42823141,1.1415521,1.2059875,0.99665604,0.3419731,0.52176438,0.61082709,2.0253767,0.67214366,0.21964044,0.511363,2.00062,0.27489208,0.46064273,1.9893326,0.8504669,2.6968028,1.0916792,0.37986423,0.80425938,1.8540974,0.4024148,1.5909449,2.0253767,0.67214366,0.21964044,0.511363,2.00062,0.27489208,0.46064273,1.9893326,0.8504669,2.6968028,1.0916792,0.37986423,0.80425938,1.8540974,0.4024148,1.5909449,0.59366036,1.2269289,3.7241304,1.5079,0.19801884,1.2580761,1.6937047,0.22716771,0.40307093,1.1430267,2.4411453,1.399407,0.88694661,0.55757841,0.4030672,2.7089551,0.92764658,1.9702585
