epoch,lr-AdamW,step,train_loss,train_recon_loss,train_space_loss,val_loss,val_recon_loss,val_space_loss
,0.0,0,,,,,,
0,,260,,,,3.374608278274536,3.3721933364868164,0.0024145550560206175
0,,260,9.371469497680664,9.368948936462402,0.0025196014903485775,,,
,1.305e-05,261,,,,,,
1,,521,,,,0.990828812122345,0.9858996272087097,0.0049291751347482204
1,,521,2.5837249755859375,2.5799994468688965,0.0037262248806655407,,,
,2.61e-05,522,,,,,,
2,,782,,,,0.3854482173919678,0.3795669674873352,0.005881141871213913
2,,782,1.027305245399475,1.0218744277954102,0.005431268829852343,,,
,3.915e-05,783,,,,,,
3,,1043,,,,0.19738833606243134,0.1906955987215042,0.006692719180136919
3,,1043,0.5149984955787659,0.5087518692016602,0.006246631499379873,,,
,5.22e-05,1044,,,,,,
4,,1304,,,,0.13404475152492523,0.12647971510887146,0.007565045729279518
4,,1304,0.3162705600261688,0.30916857719421387,0.007102180738002062,,,
,6.525e-05,1305,,,,,,
5,,1565,,,,0.1098390519618988,0.10149525105953217,0.008343796245753765
5,,1565,0.23486363887786865,0.2269340306520462,0.00792987272143364,,,
,7.83e-05,1566,,,,,,
6,,1826,,,,0.08770734071731567,0.07875286042690277,0.008954478427767754
6,,1826,0.19121409952640533,0.18260051310062408,0.008613646030426025,,,
,9.135e-05,1827,,,,,,
7,,2087,,,,0.07186226546764374,0.06248845160007477,0.009373804554343224
7,,2087,0.15857839584350586,0.14944806694984436,0.009130295366048813,,,
,9.988717948717949e-05,2088,,,,,,
8,,2348,,,,0.05810532346367836,0.048326436430215836,0.009778879582881927
8,,2348,0.13433530926704407,0.12480904906988144,0.009526166133582592,,,
,9.955256410256411e-05,2349,,,,,,
9,,2609,,,,0.052792295813560486,0.042850662022829056,0.009941638447344303
9,,2609,0.11836879700422287,0.10855583846569061,0.009812920354306698,,,
,9.921794871794873e-05,2610,,,,,,
10,,2870,,,,0.04892199486494064,0.038769710808992386,0.010152284987270832
10,,2870,0.10861664265394211,0.09860031306743622,0.010016308166086674,,,
,9.888333333333334e-05,2871,,,,,,
11,,3131,,,,0.046991582959890366,0.03677042946219444,0.010221154429018497
11,,3131,0.10098446160554886,0.09084893763065338,0.010135474614799023,,,
,9.854871794871795e-05,3132,,,,,,
12,,3392,,,,0.04727807268500328,0.03708910569548607,0.010188971646130085
12,,3392,0.09391402453184128,0.08374297618865967,0.010171073488891125,,,
,9.821410256410257e-05,3393,,,,,,
13,,3653,,,,0.04365388676524162,0.03343242034316063,0.010221468284726143
13,,3653,0.08838669955730438,0.07822433859109879,0.010162362828850746,,,
,9.787948717948718e-05,3654,,,,,,
14,,3914,,,,0.045894548296928406,0.0357351116836071,0.010159441269934177
14,,3914,0.0844220221042633,0.07428083568811417,0.010141167789697647,,,
,9.75448717948718e-05,3915,,,,,,
15,,4175,,,,0.037807539105415344,0.02771535888314247,0.010092180222272873
15,,4175,0.0812690258026123,0.07116959244012833,0.010099452920258045,,,
,9.721025641025642e-05,4176,,,,,,
16,,4436,,,,0.03786082565784454,0.02787221595644951,0.009988603182137012
16,,4436,0.07852967083454132,0.068485789000988,0.010043861344456673,,,
,9.687564102564103e-05,4437,,,,,,
17,,4697,,,,0.03768822178244591,0.02775653451681137,0.009931688196957111
17,,4697,0.07660796493291855,0.06664455682039261,0.009963388554751873,,,
