epoch,lr-AdamW,step,train_loss,train_recon_loss,train_space_loss,val_loss,val_recon_loss,val_space_loss
,0.0,0,,,,,,
0,,260,,,,3.3998217582702637,3.3763160705566406,0.023505643010139465
0,,260,9.392905235290527,9.36791706085205,0.024986177682876587,,,
,1.305e-05,261,,,,,,
1,,521,,,,1.038153052330017,0.9921109080314636,0.04604203626513481
1,,521,2.621170997619629,2.5857512950897217,0.035421572625637054,,,
,2.61e-05,522,,,,,,
2,,782,,,,0.4314265549182892,0.378787100315094,0.05263945832848549
2,,782,1.076676368713379,1.02688467502594,0.049791961908340454,,,
,3.915e-05,783,,,,,,
3,,1043,,,,0.24724352359771729,0.19105704128742218,0.05618653446435928
3,,1043,0.570094645023346,0.5158558487892151,0.05423895642161369,,,
,5.22e-05,1044,,,,,,
4,,1304,,,,0.18573243916034698,0.12759798765182495,0.05813443660736084
4,,1304,0.3748946785926819,0.3176842927932739,0.05721043795347214,,,
,6.525e-05,1305,,,,,,
5,,1565,,,,0.160289004445076,0.10266029089689255,0.05762869864702225
5,,1565,0.2940042018890381,0.23618991672992706,0.057814452797174454,,,
,7.83e-05,1566,,,,,,
6,,1826,,,,0.13756051659584045,0.081808902323246,0.05575163662433624
6,,1826,0.24967113137245178,0.1932203471660614,0.0564507357776165,,,
,9.135e-05,1827,,,,,,
7,,2087,,,,0.11971624940633774,0.0661986693739891,0.053517576307058334
7,,2087,0.2160601168870926,0.16156341135501862,0.05449671298265457,,,
,9.988717948717949e-05,2088,,,,,,
8,,2348,,,,0.10440849512815475,0.052624914795160294,0.051783595234155655
8,,2348,0.19072437286376953,0.1380777806043625,0.05264662578701973,,,
,9.955256410256411e-05,2349,,,,,,
9,,2609,,,,0.09797176718711853,0.04824379086494446,0.04972796514630318
9,,2609,0.17283987998962402,0.12210743129253387,0.05073239281773567,,,
,9.921794871794873e-05,2610,,,,,,
10,,2870,,,,0.09111054986715317,0.042700834572315216,0.048409707844257355
10,,2870,0.16104309260845184,0.11193165183067322,0.04911138489842415,,,
,9.888333333333334e-05,2871,,,,,,
11,,3131,,,,0.08723373711109161,0.040589265525341034,0.046644456684589386
11,,3131,0.15118014812469482,0.10371481627225876,0.047465335577726364,,,
,9.854871794871795e-05,3132,,,,,,
12,,3392,,,,0.0850754827260971,0.03983055055141449,0.04524491727352142
12,,3392,0.14262333512306213,0.0966910868883133,0.045932285487651825,,,
,9.821410256410257e-05,3393,,,,,,
13,,3653,,,,0.0818009302020073,0.037814151495695114,0.04398677498102188
13,,3653,0.13522300124168396,0.09065722674131393,0.04456578195095062,,,
,9.787948717948718e-05,3654,,,,,,
14,,3914,,,,0.08015939593315125,0.03755747526884079,0.042601920664310455
14,,3914,0.12975651025772095,0.08647195994853973,0.043284520506858826,,,
,9.75448717948718e-05,3915,,,,,,
15,,4175,,,,0.07194767147302628,0.030823901295661926,0.04112376645207405
15,,4175,0.12543930113315582,0.08343271166086197,0.04200661927461624,,,
,9.721025641025642e-05,4176,,,,,,
16,,4436,,,,0.0736551284790039,0.033778224140405655,0.03987690433859825
16,,4436,0.12168277055025101,0.08096341043710709,0.04071935638785362,,,
,9.687564102564103e-05,4437,,,,,,
17,,4697,,,,0.06878694891929626,0.030075857415795326,0.03871109336614609
17,,4697,0.1182158887386322,0.0787772685289383,0.03943866118788719,,,
,9.654102564102565e-05,4698,,,,,,
18,,4958,,,,0.06852682679891586,0.03101622313261032,0.03751060366630554
18,,4958,0.11401445418596268,0.07590843737125397,0.03810602426528931,,,
