epoch,lr-AdamW,step,train_loss,train_recon_loss,train_space_loss,val_loss,val_recon_loss,val_space_loss
,0.0,0,,,,,,
0,,260,,,,0.5518633723258972,0.4948054254055023,0.05705798789858818
0,,260,2.2363040447235107,2.1886212825775146,0.04768288508057594,,,
,1.305e-05,261,,,,,,
1,,521,,,,0.24198788404464722,0.1619134098291397,0.0800744965672493
1,,521,0.7194891571998596,0.6484196186065674,0.07106927037239075,,,
,2.61e-05,522,,,,,,
2,,782,,,,0.1370169222354889,0.06206740066409111,0.07494952529668808
2,,782,0.33270788192749023,0.2540420591831207,0.07866589725017548,,,
,3.915e-05,783,,,,,,
3,,1043,,,,0.09380517154932022,0.03009428083896637,0.06371089816093445
3,,1043,0.20761612057685852,0.13823308050632477,0.06938309222459793,,,
,5.22e-05,1044,,,,,,
4,,1304,,,,0.06752749532461166,0.014880376867949963,0.05264711752533913
4,,1304,0.14287123084068298,0.08485634624958038,0.058014895766973495,,,
,6.525e-05,1305,,,,,,
5,,1565,,,,0.05411824956536293,0.010610684752464294,0.04350756108760834
5,,1565,0.10351499170064926,0.055651407688856125,0.04786356911063194,,,
,7.83e-05,1566,,,,,,
6,,1826,,,,0.046980369836091995,0.009842220693826675,0.03713814914226532
6,,1826,0.08043939620256424,0.04031948372721672,0.04011986777186394,,,
,9.135e-05,1827,,,,,,
7,,2087,,,,0.04201793298125267,0.009263085201382637,0.03275484964251518
7,,2087,0.06647052615880966,0.0316435843706131,0.03482690826058388,,,
,9.988717948717949e-05,2088,,,,,,
8,,2348,,,,0.0387413389980793,0.009002507664263248,0.029738835990428925
8,,2348,0.05816928669810295,0.026955317705869675,0.031213976442813873,,,
,9.955256410256411e-05,2349,,,,,,
9,,2609,,,,0.03656720742583275,0.009136995300650597,0.027430212125182152
9,,2609,0.0529773086309433,0.024417156353592873,0.028560161590576172,,,
,9.921794871794873e-05,2610,,,,,,
10,,2870,,,,0.034245554357767105,0.008953799493610859,0.025291750207543373
10,,2870,0.04920322448015213,0.022861050441861153,0.026342177763581276,,,
,9.888333333333334e-05,2871,,,,,,
11,,3131,,,,0.03257932513952255,0.00916073564440012,0.023418592289090157
11,,3131,0.04620243236422539,0.021791396662592888,0.024411024525761604,,,
,9.854871794871795e-05,3132,,,,,,
12,,3392,,,,0.03024706430733204,0.008263506926596165,0.021983560174703598
12,,3392,0.043657299131155014,0.020945115014910698,0.022712167352437973,,,
,9.821410256410257e-05,3393,,,,,,
13,,3653,,,,0.028785934671759605,0.00837781187146902,0.02040812000632286
13,,3653,0.04138423874974251,0.0201726034283638,0.021211663261055946,,,
,9.787948717948718e-05,3654,,,,,,
14,,3914,,,,0.028139889240264893,0.008921418339014053,0.01921847090125084
14,,3914,0.0394512414932251,0.01956167444586754,0.019889554008841515,,,
,9.75448717948718e-05,3915,,,,,,
15,,4175,,,,0.025909405201673508,0.00787390023469925,0.01803550496697426
15,,4175,0.037718236446380615,0.018995705991983414,0.018722515553236008,,,
,9.721025641025642e-05,4176,,,,,,
16,,4436,,,,0.024954138323664665,0.007731444668024778,0.01722269505262375
16,,4436,0.0361366830766201,0.018436145037412643,0.017700541764497757,,,
,9.687564102564103e-05,4437,,,,,,
17,,4697,,,,0.02410190925002098,0.0076274811290204525,0.01647442951798439
17,,4697,0.03469258174300194,0.01791035570204258,0.016782214865088463,,,
,9.654102564102565e-05,4698,,,,,,
18,,4958,,,,0.022851070389151573,0.007423020899295807,0.015428050421178341
18,,4958,0.033352628350257874,0.017375290393829346,0.015977341681718826,,,
,9.620641025641026e-05,4959,,,,,,
19,,5219,,,,0.022639689967036247,0.00790467206388712,0.014735016971826553
19,,5219,0.03212611377239227,0.01689324527978897,0.01523288432508707,,,
,9.587179487179487e-05,5220,,,,,,
20,,5480,,,,0.021122151985764503,0.006849569734185934,0.014272579923272133
20,,5480,0.030995165929198265,0.01643599569797516,0.014559178613126278,,,
,9.553717948717949e-05,5481,,,,,,
21,,5741,,,,0.02102336473762989,0.007482580374926329,0.013540783897042274
21,,5741,0.029924144968390465,0.015980487689375877,0.01394366193562746,,,
,9.520256410256411e-05,5742,,,,,,
22,,6002,,,,0.020693544298410416,0.007847392931580544,0.012846151366829872
22,,6002,0.028873441740870476,0.015502684749662876,0.01337076909840107,,,
,9.486794871794872e-05,6003,,,,,,
23,,6263,,,,0.019683483988046646,0.0071398611180484295,0.012543625198304653
23,,6263,0.027949389070272446,0.015111266635358334,0.012838134542107582,,,
,9.453333333333335e-05,6264,,,,,,
24,,6524,,,,0.018531102687120438,0.006550701335072517,0.011980402283370495
24,,6524,0.027041560038924217,0.014724664390087128,0.012316899374127388,,,
,9.419871794871795e-05,6525,,,,,,
25,,6785,,,,0.018527179956436157,0.0069976928643882275,0.011529489420354366
25,,6785,0.02613655850291252,0.01431586779654026,0.011820686981081963,,,
,9.386410256410258e-05,6786,,,,,,
26,,7046,,,,0.018198955804109573,0.0071822707541286945,0.011016682721674442
26,,7046,0.025293035432696342,0.013952835462987423,0.011340203694999218,,,
,9.352948717948719e-05,7047,,,,,,
27,,7307,,,,0.017460692673921585,0.00687427120283246,0.010586422868072987
27,,7307,0.024556627497076988,0.013625957071781158,0.010930674150586128,,,
,9.31948717948718e-05,7308,,,,,,
28,,7568,,,,0.017053592950105667,0.006988587323576212,0.010065005160868168
28,,7568,0.023839304223656654,0.01332060992717743,0.010518706403672695,,,
,9.286025641025642e-05,7569,,,,,,
29,,7829,,,,0.016618961468338966,0.006640938576310873,0.009978022426366806
29,,7829,0.02317759580910206,0.01301282923668623,0.010164763778448105,,,
,9.252564102564103e-05,7830,,,,,,
30,,8090,,,,0.016305649653077126,0.006668543443083763,0.009637109003961086
30,,8090,0.022513164207339287,0.012689352035522461,0.009823821485042572,,,
,9.219102564102564e-05,8091,,,,,,
31,,8351,,,,0.016078263521194458,0.006855911109596491,0.009222354739904404
31,,8351,0.021943623200058937,0.012437637895345688,0.00950599741190672,,,
,9.185641025641026e-05,8352,,,,,,
32,,8612,,,,0.015457576140761375,0.006483274046331644,0.00897430069744587
32,,8612,0.021463489159941673,0.01223791390657425,0.009225576184689999,,,
,9.152179487179487e-05,8613,,,,,,
33,,8873,,,,0.015643605962395668,0.006891605909913778,0.008752002380788326
33,,8873,0.020944401621818542,0.011975997127592564,0.008968409150838852,,,
,9.118717948717948e-05,8874,,,,,,
34,,9134,,,,0.014954222366213799,0.006408320739865303,0.00854590255767107
34,,9134,0.02054469659924507,0.011814883910119534,0.008729812689125538,,,
,9.08525641025641e-05,9135,,,,,,
35,,9395,,,,0.0147852199152112,0.006430089008063078,0.008355128578841686
35,,9395,0.020102133974432945,0.011593575589358807,0.008508553728461266,,,
,9.051794871794873e-05,9396,,,,,,
36,,9656,,,,0.014597561210393906,0.0065521178767085075,0.008045444265007973
36,,9656,0.01968100294470787,0.011365585029125214,0.008315416052937508,,,
,9.018333333333335e-05,9657,,,,,,
37,,9917,,,,0.014445037581026554,0.006502924952656031,0.00794211309403181
37,,9917,0.019319625571370125,0.011197429150342941,0.008122194558382034,,,
,8.984871794871796e-05,9918,,,,,,
38,,10178,,,,0.014202632009983063,0.00634984765201807,0.007852784357964993
38,,10178,0.01899532601237297,0.011033102869987488,0.007962219417095184,,,
,8.951410256410257e-05,10179,,,,,,
39,,10439,,,,0.013990070670843124,0.006380233447998762,0.0076098390854895115
39,,10439,0.01869228482246399,0.010889766737818718,0.007802517153322697,,,
,8.917948717948719e-05,10440,,,,,,
40,,10700,,,,0.01380140334367752,0.006204176694154739,0.0075972299091517925
40,,10700,0.01841486245393753,0.010746500454843044,0.007668360602110624,,,
,8.88448717948718e-05,10701,,,,,,
41,,10961,,,,0.013768536038696766,0.006411692593246698,0.007356842048466206
41,,10961,0.0181337371468544,0.010602525435388088,0.007531210780143738,,,
,8.851025641025641e-05,10962,,,,,,
42,,11222,,,,0.013484629802405834,0.006165491417050362,0.007319139316678047
42,,11222,0.01787439174950123,0.010457837022840977,0.007416548673063517,,,
,8.817564102564103e-05,11223,,,,,,
43,,11483,,,,0.01360916718840599,0.006418309640139341,0.007190854754298925
43,,11483,0.017648519948124886,0.010331571102142334,0.007316946517676115,,,
,8.784102564102564e-05,11484,,,,,,
44,,11744,,,,0.013604119420051575,0.0065095373429358006,0.007094581611454487
44,,11744,0.017434384673833847,0.010220494121313095,0.007213897071778774,,,
,8.750641025641026e-05,11745,,,,,,
45,,12005,,,,0.01303733978420496,0.006013537757098675,0.007023802027106285
45,,12005,0.01724124141037464,0.010113690048456192,0.0071275494992733,,,
,8.717179487179487e-05,12006,,,,,,
46,,12266,,,,0.012821060605347157,0.00586742302402854,0.006953636184334755
46,,12266,0.017039112746715546,0.009991169907152653,0.0070479437708854675,,,
,8.683717948717948e-05,12267,,,,,,
47,,12527,,,,0.013368235900998116,0.006517412606626749,0.006850821897387505
47,,12527,0.016846446320414543,0.009880159981548786,0.0069662886671721935,,,
,8.65025641025641e-05,12528,,,,,,
48,,12788,,,,0.01297055184841156,0.006131177302449942,0.00683937594294548
48,,12788,0.01670078933238983,0.00980224460363388,0.006898547522723675,,,
,8.616794871794873e-05,12789,,,,,,
49,,13049,,,,0.013094969093799591,0.006373961456120014,0.006721008103340864
49,,13049,0.016530489549040794,0.009705476462841034,0.006825017277151346,,,
,8.583333333333334e-05,13050,,,,,,
50,,13310,,,,0.013075063936412334,0.006412961520254612,0.0066621024161577225
50,,13310,0.016422340646386147,0.009662920609116554,0.006759418174624443,,,
,8.549871794871796e-05,13311,,,,,,
51,,13571,,,,0.012895861640572548,0.0063272700645029545,0.006568590644747019
51,,13571,0.016293395310640335,0.009591927751898766,0.006701464299112558,,,
,8.516410256410257e-05,13572,,,,,,
52,,13832,,,,0.01248359028249979,0.005981420632451773,0.00650216918438673
52,,13832,0.016150224953889847,0.009508808143436909,0.006641416810452938,,,
,8.482948717948719e-05,13833,,,,,,
53,,14093,,,,0.012559771537780762,0.0061147441156208515,0.006445029284805059
53,,14093,0.015995467081665993,0.009406423196196556,0.006589045282453299,,,
,8.44948717948718e-05,14094,,,,,,
54,,14354,,,,0.012280277907848358,0.005820198450237513,0.0064600808545947075
54,,14354,0.01592678762972355,0.009389710612595081,0.006537077482789755,,,
,8.416025641025641e-05,14355,,,,,,
55,,14615,,,,0.01216502208262682,0.005780365318059921,0.006384658627212048
55,,14615,0.01581186056137085,0.009325798600912094,0.00648605776950717,,,
,8.382564102564103e-05,14616,,,,,,
56,,14876,,,,0.012278648093342781,0.005952923558652401,0.00632572453469038
56,,14876,0.015715602785348892,0.009275289252400398,0.00644031073898077,,,
,8.349102564102564e-05,14877,,,,,,
57,,15137,,,,0.012642672285437584,0.006339304149150848,0.006303366739302874
57,,15137,0.015592241659760475,0.00919493567198515,0.006397308316081762,,,
,8.315641025641025e-05,15138,,,,,,
58,,15398,,,,0.011982220225036144,0.005755919497460127,0.006226302124559879
58,,15398,0.015499440021812916,0.009153740480542183,0.006345699075609446,,,
,8.282179487179488e-05,15399,,,,,,
59,,15659,,,,0.012067594565451145,0.0058667901903390884,0.0062008025124669075
59,,15659,0.015419991686940193,0.009111442603170872,0.006308542564511299,,,
,8.248717948717948e-05,15660,,,,,,
60,,15920,,,,0.012540754862129688,0.006364662665873766,0.006176094990223646
60,,15920,0.015266810543835163,0.009005971252918243,0.0062608420848846436,,,
,8.215256410256411e-05,15921,,,,,,
61,,16181,,,,0.012283473275601864,0.0061784787103533745,0.006104993633925915
61,,16181,0.015222141519188881,0.008997144177556038,0.0062250010669231415,,,
,8.181794871794872e-05,16182,,,,,,
62,,16442,,,,0.012353296391665936,0.006198814604431391,0.006154482252895832
62,,16442,0.015173735097050667,0.008980322629213333,0.006193412467837334,,,
,8.148333333333334e-05,16443,,,,,,
63,,16703,,,,0.012228910811245441,0.006170198787003756,0.006058713421225548
63,,16703,0.015046277083456516,0.008893649093806744,0.006152627989649773,,,
,8.114871794871796e-05,16704,,,,,,
64,,16964,,,,0.012507402338087559,0.0064259790815413,0.006081423256546259
64,,16964,0.014990974217653275,0.008876231499016285,0.00611474784091115,,,
,8.081410256410257e-05,16965,,,,,,
65,,17225,,,,0.01236462127417326,0.00635660532861948,0.006008018273860216
65,,17225,0.014922816306352615,0.008842986077070236,0.006079826503992081,,,
,8.047948717948718e-05,17226,,,,,,
66,,17486,,,,0.011464981362223625,0.005493270233273506,0.005971711128950119
66,,17486,0.014820169657468796,0.00877629779279232,0.006043870933353901,,,
,8.01448717948718e-05,17487,,,,,,
67,,17747,,,,0.012587952427566051,0.0066376845352351665,0.005950267426669598
67,,17747,0.014772082678973675,0.008764361962676048,0.006007720250636339,,,
,7.981025641025641e-05,17748,,,,,,
68,,18008,,,,0.012524175457656384,0.006556713953614235,0.005967459641396999
68,,18008,0.01473661232739687,0.00875419657677412,0.0059824115596711636,,,
,7.947564102564104e-05,18009,,,,,,
69,,18269,,,,0.011528199538588524,0.005723467096686363,0.005804733838886023
69,,18269,0.014635556377470493,0.008693831041455269,0.0059417313896119595,,,
,7.914102564102565e-05,18270,,,,,,
70,,18530,,,,0.011679206974804401,0.005866760853677988,0.005812445189803839
70,,18530,0.014635825529694557,0.008721490390598774,0.005914338398724794,,,
,7.880641025641026e-05,18531,,,,,,
71,,18791,,,,0.011554746888577938,0.005750703625380993,0.005804041866213083
71,,18791,0.014496034942567348,0.008610318414866924,0.005885716062039137,,,
,7.847179487179488e-05,18792,,,,,,
72,,19052,,,,0.012172806076705456,0.006372088100761175,0.005800715647637844
72,,19052,0.014490067027509212,0.008633743040263653,0.005856318399310112,,,
,7.813717948717949e-05,19053,,,,,,
73,,19313,,,,0.012600641697645187,0.006850401870906353,0.005750240292400122
73,,19313,0.014428258873522282,0.008597813546657562,0.005830448120832443,,,
,7.78025641025641e-05,19314,,,,,,
74,,19574,,,,0.01186413411051035,0.006130255293101072,0.0057338811457157135
74,,19574,0.014351263642311096,0.008558518253266811,0.005792737938463688,,,
,7.746794871794872e-05,19575,,,,,,
75,,19835,,,,0.011848133988678455,0.0061661554500460625,0.005681978072971106
75,,19835,0.01431039534509182,0.008536807261407375,0.005773589015007019,,,
,7.713333333333333e-05,19836,,,,,,
76,,20096,,,,0.011929573491215706,0.006281575188040733,0.00564799876883626
76,,20096,0.014248177409172058,0.00850779376924038,0.005740381311625242,,,
